role,name,key,team
Bowler,Ankit Sharma,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjYM,team_hyderabad
Bowler,Tekkami Atchuta Rao,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjcM,team_hyderabad
Bowler,Akash Bhandari,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjgM,team_hyderabad
Batsman,Darren Bravo,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjkM,team_hyderabad
Batsman,Bharat Chipli,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzAM,team_hyderabad
Allrounder,Daniel Christian,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzEM,team_hyderabad
Wicketkeeper,Kedar Devdhar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzIM,team_hyderabad
Top-order batsman,Shikhar Dhawan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzMM,team_hyderabad
Middle-order batsman,Jean-Paul Duminy,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzQM,team_hyderabad
Bowler,Manpreet Gony,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzUM,team_hyderabad
Batsman,Daniel Harris,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzYM,team_hyderabad
Batsman,Ishank Jaggi,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzcM,team_hyderabad
Batsman,Abhishek Jhunjhunwala,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzgM,team_hyderabad
Batsman,Chris Lynn,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMzkM,team_hyderabad
Bowler,Amit Mishra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDAM,team_hyderabad
Middle-order batsman,Tanmay Mishra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDEM,team_hyderabad
Wicketkeeper batsman,Parthiv Patel,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDIM,team_hyderabad
Bowler,Veer Pratap Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDMM,team_hyderabad
Allrounder,Syed Quadri,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDQM,team_hyderabad
Batsman,Dwaraka Ravi Teja,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDUM,team_hyderabad
Batsman,Akshath Reddy,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDYM,team_hyderabad
Batsman,Biplab Samantray,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDcM,team_hyderabad
Bowler,Ishant Sharma,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDgM,team_hyderabad
Bowler,Sneha Kishore,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNDkM,team_hyderabad
Batsman,Sunny Sohal,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTAM,team_hyderabad
Top-order batsman,Tanmay Srivastava,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTEM,team_hyderabad
Bowler,Dale Steyn,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTIM,team_hyderabad
Bowler,TP Sudhindra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTMM,team_hyderabad
Bowler,Rusty Theron,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTQM,team_hyderabad
Middle-order batsman,Cameron White,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTUM,team_hyderabad
Batsman,Arjun Yadav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTYM,team_hyderabad
Top-order batsman,Sachin Tendulkar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTcM,team_mumbai
Bowler,Abu Nechim,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTgM,team_mumbai
Batsman,Amitoze Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNTkM,team_mumbai
Batsman,Aliden Blizzard,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjAM,team_mumbai
Bowler,Yuzvendra Chahal,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjEM,team_mumbai
Allrounder,James Franklin,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjIM,team_mumbai
Batsman,Herschelle Gibbs,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjMM,team_mumbai
Bowler,Harbhajan Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjQM,team_mumbai
Wicketkeeper batsman,Davy Jacobs,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjUM,team_mumbai
Bowler,Mitchell Johnson,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjYM,team_mumbai
Wicketkeeper batsman,Dinesh Karthik,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjcM,team_mumbai
Bowler,Dhawal Kulkarni,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjgM,team_mumbai
Batsman,Richard Levi,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNjkM,team_mumbai
Bowler,Clint McKay,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzAM,team_mumbai
Bowler,Lasith Malinga,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzEM,team_mumbai
Wicketkeeper,Sushant Marathe,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzIM,team_mumbai
Bowler,Sujit Nayak,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzMM,team_mumbai
Bowler,Pragyan Ojha,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzQM,team_mumbai
Bowler,Munaf Patel,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzUM,team_mumbai
Allrounder,Thisara Perera,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzYM,team_mumbai
Bowler,Robin Peterson,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzcM,team_mumbai
Allrounder,Kieron Pollard,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzgM,team_mumbai
Wicketkeeper batsman,Ambati Rayudu,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xNzkM,team_mumbai
Batsman,Jaydev Shah,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODAM,team_mumbai
Batsman,Rohit Sharma,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODEM,team_mumbai
Bowler,Rahul Shukla,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODIM,team_mumbai
Bowler,RP Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODMM,team_mumbai
Batsman,Tirumalasetti Suman,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODQM,team_mumbai
Bowler,Pawan Suyal,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODUM,team_mumbai
Wicketkeeper,Aditya Tare,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODYM,team_mumbai
Batsman,Apoorv Wankhade,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODcM,team_mumbai
Batsman,Suryakumar Yadav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODgM,team_mumbai
Wicketkeeper batsman,MS Dhoni,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xODkM,team_chennai
Top-order batsman,Srikkanth Anirudha,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTAM,team_chennai
Bowler,Ravichandran Ashwin,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTEM,team_chennai
Middle-order batsman,Subramaniam Badrinath,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTIM,team_chennai
Top-order batsman,George Bailey,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTMM,team_chennai
Bowler,Doug Bollinger,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTQM,team_chennai
Allrounder,Dwayne Bravo,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTUM,team_chennai
Allrounder,Faf du Plessis,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTYM,team_chennai
Bowler,Ben Hilfenhaus,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xOTcM,team_chennai
