"id","name","role","team"
"237","Luke Pomersbach","Batsman","team_bangalore"
"238","Cheteshwar Pujara","Batsman","team_bangalore"
"239","Rilee Rossouw","Batsman","team_bangalore"
"240","Jamaluddin Syed Mohammad","Bowler","team_bangalore"
"241","Saurabh Tiwary","Batsman","team_bangalore"
"242","Vinay Kumar","Bowler","team_bangalore"
"243","Vijay Zol","Batsman","team_bangalore"
"244","Rahul Dravid","Top-order batsman","team_rajasthan"
"245","Stuart Binny","Allrounder","team_rajasthan"
"246","Johan Botha","Allrounder","team_rajasthan"
"247","Deepak Chahar","Bowler","team_rajasthan"
"248","Dinesh Chandimal","Wicketkeeper batsman","team_rajasthan"
"249","Ankeet Chavan","Batsman","team_rajasthan"
"250","Aakash Chopra","Batsman","team_rajasthan"
"251","Paul Collingwood","Allrounder","team_rajasthan"
"252","Kevon Cooper","Bowler","team_rajasthan"
"253","Aditya Dole","Bowler","team_rajasthan"
"254","Samad Fallah","Bowler","team_rajasthan"
"255","Faiz Fazal","Opening batsman","team_rajasthan"
"256","Shreevats Goswami","Wicketkeeper batsman","team_rajasthan"
"257","Brad Hodge","Top-order batsman","team_rajasthan"
"258","Brad Hogg","Allrounder","team_rajasthan"
"259","Ashok Menaria","Allrounder","team_rajasthan"
"260","Sumit Narwal","Allrounder","team_rajasthan"
"261","Pankaj Singh","Bowler","team_rajasthan"
"262","Amit Paunikar","Wicketkeeper batsman","team_rajasthan"
"263","Ajinkya Rahane","Top-order batsman","team_rajasthan"
"264","Abhishek Raut","Allrounder","team_rajasthan"
"265","Owais Shah","Batsman","team_rajasthan"
"266","Pinal Shah","Wicketkeeper batsman","team_rajasthan"
"267","Amit Singh","Bowler","team_rajasthan"
"268","Sreesanth","Bowler","team_rajasthan"
"269","Shaun Tait","Bowler","team_rajasthan"
"270","Siddharth Trivedi","Bowler","team_rajasthan"
"271","Shane Watson","Allrounder","team_rajasthan"
"272","Dishant Yagnik","Wicketkeeper","team_rajasthan"
