role,name,key,team
Middle-order batsman,David Miller,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4OAw,team_punjab
Allrounder,Abhishek Nayar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4OQw,team_punjab
Bowler,Ramesh Powar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5MAw,team_punjab
Bowler,Nathan Rimmington,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5MQw,team_punjab
Batsman,Nitin Saini,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5Mgw,team_punjab
Allrounder,Rajagopal Sathish,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5Mww,team_punjab
Bowler,Shalabh Srivastava,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5NAw,team_punjab
Batsman,Sunny Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5NQw,team_punjab
Batsman,Paul Valthaty,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5Ngw,team_punjab
Top-order batsman,Gautam Gambhir,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5Nww,team_kolkata
Bowler,Sarabjit Ladda,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5OAw,team_kolkata
Bowler,Lakshmipathy Balaji,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA5OQw,team_kolkata
Allrounder,Rajat Bhatia,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwMAw,team_kolkata
Wicketkeeper,Manvinder  Bisla,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwMQw,team_kolkata
Batsman,Debabrata Das,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwMgw,team_kolkata
Bowler,Marchant De Lange,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwMww,team_kolkata
Wicketkeeper batsman,Brad Haddin,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwNAw,team_kolkata
Allrounder,Iqbal Abdulla,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwNQw,team_kolkata
Batsman,Chirag Jani,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwNgw,team_kolkata
Allrounder,jacques Kallis,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwNww,team_kolkata
Bowler,Brett Lee,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwOAw,team_kolkata
Wicketkeeper batsman,Brendon McCullum,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEwOQw,team_kolkata
Middle-order batsman,Eoin Morgan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExMAw,team_kolkata
Bowler,Sunil Narine,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExMQw,team_kolkata
Allrounder,Yusuf Pathan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExMgw,team_kolkata
Bowler,James Pattinson,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExMww,team_kolkata
Batsman,Sanju Samson,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExNAw,team_kolkata
Bowler,Pradeep Sangwan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExNQw,team_kolkata
Bowler,Iresh Saxena,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExNgw,team_kolkata
Bowler,Shami Ahmed,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExNww,team_kolkata
Allrounder,Shakib Al Hasan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExOAw,team_kolkata
Allrounder,Laxmi Shukla,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzExOQw,team_kolkata
Allrounder,Ryan ten Doeschate,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyMAw,team_kolkata
Batsman,Manoj Tiwary,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyMQw,team_kolkata
Bowler,Jaydev Unadkat,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyMgw,team_kolkata
Wicketkeeper batsman,Kumar Sangakkara,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyMww,team_hyderabad
Bowler,Ashish Reddy,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyNAw,team_hyderabad
Bowler,Anand Rajan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyNQw,team_hyderabad
Bowler,Ankit Sharma,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyNgw,team_hyderabad
Bowler,Tekkami Atchuta Rao,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyNww,team_hyderabad
Bowler,Akash Bhandari,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyOAw,team_hyderabad
Batsman,Darren Bravo,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEyOQw,team_hyderabad
Batsman,Bharat Chipli,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzMAw,team_hyderabad
Allrounder,Daniel Christian,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzMQw,team_hyderabad
Wicketkeeper,Kedar Devdhar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzMgw,team_hyderabad
Top-order batsman,Shikhar Dhawan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzMww,team_hyderabad
Middle-order batsman,Jean-Paul Duminy,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzNAw,team_hyderabad
Bowler,Manpreet Gony,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzNQw,team_hyderabad
Batsman,Daniel Harris,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzNgw,team_hyderabad
Batsman,Ishank Jaggi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzNww,team_hyderabad
Batsman,Abhishek Jhunjhunwala,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzOAw,team_hyderabad
Batsman,Chris Lynn,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzEzOQw,team_hyderabad
Bowler,Amit Mishra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0MAw,team_hyderabad
Middle-order batsman,Tanmay Mishra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0MQw,team_hyderabad
Wicketkeeper batsman,Parthiv Patel,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0Mgw,team_hyderabad
Bowler,Veer Pratap Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0Mww,team_hyderabad
Allrounder,Syed Quadri,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0NAw,team_hyderabad
Batsman,Dwaraka Ravi Teja,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0NQw,team_hyderabad
Batsman,Akshath Reddy,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0Ngw,team_hyderabad
Batsman,Biplab Samantray,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0Nww,team_hyderabad
Bowler,Ishant Sharma,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0OAw,team_hyderabad
Bowler,Sneha Kishore,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE0OQw,team_hyderabad
Batsman,Sunny Sohal,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1MAw,team_hyderabad
Top-order batsman,Tanmay Srivastava,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1MQw,team_hyderabad
Bowler,Dale Steyn,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1Mgw,team_hyderabad
Bowler,TP Sudhindra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1Mww,team_hyderabad
Bowler,Rusty Theron,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1NAw,team_hyderabad
Middle-order batsman,Cameron White,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1NQw,team_hyderabad
Batsman,Arjun Yadav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1Ngw,team_hyderabad
Top-order batsman,Sachin Tendulkar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1Nww,team_mumbai
Bowler,Abu Nechim,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1OAw,team_mumbai
Batsman,Amitoze Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE1OQw,team_mumbai
Batsman,Aliden Blizzard,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2MAw,team_mumbai
Bowler,Yuzvendra Chahal,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2MQw,team_mumbai
Allrounder,James Franklin,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2Mgw,team_mumbai
Batsman,Herschelle Gibbs,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2Mww,team_mumbai
Bowler,Harbhajan Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2NAw,team_mumbai
Wicketkeeper batsman,Davy Jacobs,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2NQw,team_mumbai
Bowler,Mitchell Johnson,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2Ngw,team_mumbai
Wicketkeeper batsman,Dinesh Karthik,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2Nww,team_mumbai
Bowler,Dhawal Kulkarni,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2OAw,team_mumbai
Batsman,Richard Levi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE2OQw,team_mumbai
Bowler,Clint McKay,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3MAw,team_mumbai
Bowler,Lasith Malinga,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3MQw,team_mumbai
Wicketkeeper,Sushant Marathe,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3Mgw,team_mumbai
Bowler,Sujit Nayak,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3Mww,team_mumbai
Bowler,Pragyan Ojha,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3NAw,team_mumbai
Bowler,Munaf Patel,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3NQw,team_mumbai
Allrounder,Thisara Perera,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3Ngw,team_mumbai
Bowler,Robin Peterson,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3Nww,team_mumbai
Allrounder,Kieron Pollard,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3OAw,team_mumbai
Wicketkeeper batsman,Ambati Rayudu,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE3OQw,team_mumbai
Batsman,Jaydev Shah,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4MAw,team_mumbai
Batsman,Rohit Sharma,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4MQw,team_mumbai
Bowler,Rahul Shukla,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4Mgw,team_mumbai
Bowler,RP Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4Mww,team_mumbai
Batsman,Tirumalasetti Suman,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4NAw,team_mumbai
Bowler,Pawan Suyal,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4NQw,team_mumbai
Wicketkeeper,Aditya Tare,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4Ngw,team_mumbai
Batsman,Apoorv Wankhade,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4Nww,team_mumbai
Batsman,Suryakumar Yadav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4OAw,team_mumbai
Wicketkeeper batsman,MS Dhoni,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE4OQw,team_chennai
Top-order batsman,Srikkanth Anirudha,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5MAw,team_chennai
Bowler,Ravichandran Ashwin,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5MQw,team_chennai
Middle-order batsman,Subramaniam Badrinath,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5Mgw,team_chennai
Top-order batsman,George Bailey,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5Mww,team_chennai
Bowler,Doug Bollinger,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzE5NAw,team_chennai
